iteration,max_delta
1,5.5
2,4.603655978321072
3,4.050000000000001
4,3.6449999999999996
5,3.2805
6,2.952449999999999
7,2.657205000000001
8,2.3914845000000007
9,2.152336049999999
10,1.9371024450000007
11,1.743392200499997
12,1.569052980449996
13,1.4121476824049992
14,1.2709329141645043
15,1.1438396227480538
16,1.0294556604732463
17,0.9265100944259217
18,0.833859084983331
19,0.750473176484995
20,0.6754258588364976
21,0.6078832729528472
22,0.5470949456575624
23,0.4923854510918062
24,0.44314690598262274
25,0.39883221538435976
26,0.35894899384592804
27,0.3230540944613338
28,0.29074868501520257
29,0.26167381651367805
30,0.23550643486231593
31,0.21195579137608433
32,0.19076021223847306
33,0.17168419101462717
34,0.1545157719131609
35,0.13906419472184695
36,0.12515777524966154
37,0.11264199772469397
38,0.10137779795222457
39,0.09124001815700211
40,0.08211601634130261
41,0.07390441470717235
42,0.0665139732364537
43,0.059862575912809746
44,0.05387631832152806
45,0.0484886864893781
46,0.043639817840436024
47,0.039275836056397395
48,0.03534825245075268
49,0.03181342720568381
50,0.028632084485110454
51,0.02576887603660083
52,0.023191988432941457
53,0.02087278958964589
54,0.018785510630685565
55,0.016906959567613455
56,0.01521626361085282
57,0.01369463724977038
58,0.012325173524793342
59,0.011092656172309034
60,0.009983390555078131
61,0.008985051499571739
62,0.008086546349616697
63,0.007277891714650764
64,0.0065501025431871085
65,0.0058950922888669766
66,0.005305583059985963
67,0.004775024753982393
68,0.004297522278584154
69,0.003867770050725028
70,0.003480993045656078
71,0.003132893741089049
72,0.0028196043669836968
73,0.0025376439302817744
74,0.002283879537252176
75,0.0020554915835262477
76,0.0018499424251743335
77,0.0016649481826576107
78,0.001498453364391139
79,0.0013486080279534463
80,0.0012137472251581016
81,0.0010923725026401598
82,0.0009831352523761439
83,0.0008848217271406611
84,0.000796339554426595
85,0.0007167055989825144
86,0.0006450350390849735
87,0.0005805315351778972
88,0.0005224783816615286
89,0.00047023054349182303
90,0.0004232074891419302
91,0.0003808867402312899
92,0.0003427980662067398
93,0.00030851825958677637
94,0.00027766643362525656
95,0.00024989979026202036
96,0.0002249098112372394
97,0.00020241883011351547
98,0.00018217694710642718
99,0.00016395925239010012
100,0.00014756332715393228
101,0.00013280699443640742
102,0.00011952629499489831
103,0.00010757366549540848
104,9.681629894942034e-05
105,8.713466905163614e-05
106,7.842120214718307e-05
107,7.05790819282015e-05
108,6.35211737360919e-05
109,5.7169056361772164e-05
110,5.145215072843712e-05
111,4.630693565843558e-05
112,4.1676242091170934e-05
113,3.750861787921167e-05
114,3.375775609271159e-05
115,3.0381980486993143e-05
116,2.7343782434741115e-05
117,2.460940419268809e-05
118,2.214846377057711e-05
119,1.9933617394940484e-05
120,1.7940255652604264e-05
121,1.614623008805438e-05
122,1.45316070785384e-05
123,1.3078446372105645e-05
124,1.1770601737737252e-05
125,1.0593541560410813e-05
126,9.534187405790817e-06
127,8.580768664501193e-06
128,7.722691798051073e-06
129,6.950422623219765e-06
130,6.2553803559239896e-06
131,5.629842320331591e-06
132,5.066858086877346e-06
133,4.560172278900154e-06
134,4.104155053141767e-06
135,3.6937395506697612e-06
136,3.324365593471157e-06
137,2.991929036966212e-06
138,2.6927361318485055e-06
139,2.423462518663655e-06
140,2.181116265376204e-06
141,1.96300463528587e-06
142,1.7667041731783684e-06
143,1.590033754439446e-06
144,1.4310303839693006e-06
145,1.287927346993456e-06
146,1.1591346122941104e-06
147,1.043221146801443e-06
148,9.388990349634696e-07
